MUNICIPIO;VEREDA;FUENTE;NO. AUTORIZACION;FECHA AUTORIZACION;LATITUD DECIMAL;LONGITUD DECIMAL;ANEXO
TUMACO;la Herrera / corregimiento de Candelillas;Quebrada Cuespi;269;16/12/2024;1,523306;78,739361;
TUMACO;Llorente de Tumaco - barrio San Martin;Arroyo;288;18/12/2024;1,8283;78,736925;
TUMACO;PLAYAS DEL MORRO;PROYECTO PUEBLITO TUMAQUEÑO;;;1,8283;78,736925;
TUMACO;IMBILI;Rio Mira;273;16/12/2024;1,506833;78,721917;https://drive.google.com/file/d/1mW8CpptkE8vgdNR8Y5oNHJdCBgoADsIl/view?usp=sharing
TUMACO;LLORENTE;POZO ARTESANO;272;16/12/2024;1,7496;78,806486;
TUMACO;BARRIO EXPORCOL;PUERTO MANGLAR;;;1,812722;78,737611;https://drive.google.com/file/d/1UslirzvciASS5m5kHgz_y9Sg0D6kdirz/view?usp=sharing
TUMACO;URBANO;POZO SUBTERRANEO;295;23/12/2024;1,828694;78,734722;https://drive.google.com/file/d/1alooMskQVDrAC12sWVbyi3kUv7BKRrvz/view?usp=sharing
TUMACO;ZONA URBANA BARRIO VEINTE DE JULIO;POZO PROFUNDO;297;26/12/2024;1,82175;78,733306;https://drive.google.com/file/d/1sQBnIr43aiMax2A_TsQVi-zFc3XX0zO6/view?usp=sharing
TUMACO;URBANO;POZO SUBTERRANEO;;;1,828694;78,734722;https://drive.google.com/file/d/1nEog_grvq6Pun88z1uP-SMhbfLNmHrqQ/view?usp=sharing
TUMACO;SAN JOSE - PUEBLO NUEVO;SANTA CLARA;;;1,501944;78,694917;https://drive.google.com/file/d/1RCfibfJeByRB3YdzYrgkaRFLCrDS7Cx7/view?usp=sharing
TUMACO;URBANO;POZO;;;1,828694;78,734722;
TUMACO;CABECERA MUNICIPAL;POZO ARMADA NACIONAL;;;1,8283;78,736925;
TUMACO;20 DE JULIO VÍA AL MORRO;HOTEL DUBAIS;;;1,8283;78,736925;
TUMACO;AEROPUERTO LA FLORIDA;POZO SUBTERRANEO;;;1,813139;78,75;https://drive.google.com/file/d/14l_Dg82qF3c0EJXfRu-NxcoP4MuJEG67/view?usp=sharing
TUMACO;TUMACO;SIN NOMBRE;;;1,789753;78,790381;
TUMACO;ISLA DEL MORRO, SECTOR LA PLAYA;POZO ESTADERO EL BOHIO;285;17/12/2024;1,82875;78,734639;https://drive.google.com/file/d/1ckaarjtqvsN34FXpzOTfvHYr1fFx318W/view?usp=sharing
TUMACO;TUMACO;SIN NOMBRE;;;1,789753;78,790381;
TUQUERRES;CUNDES;QUEBRADA EL CHALCHIO;;;1,105369;77,611531;
TUQUERRES;CHALITALA;CHALITALA;286;17/12/2024;1,08285;77,580189;
TUQUERRES;CHANARRO ALTO;OASIS;298;26/12/2024;1,090944;77,657944;https://drive.google.com/file/d/1H2U_d6QwkkHpCpfbK9XtPvD2KgqBXG7Z/view?usp=sharing
TUQUERRES;ESNAMBUD;CORTADERAS;299;26/12/2024;1,104583;77,683417;https://drive.google.com/file/d/1uL4kziGFFmKZFfohSaFSDmnZcXNSep92/view?usp=sharing
TUQUERRES;ALPAN POTRERILLOS;AGUADA;301;26/12/2024;2,448889;77,608333;
TUQUERRES;ALPAN POTRERILLOS;QUITASOL;307;26/12/2024;2,448889;77,608333;https://drive.google.com/file/d/1TbXrLSOKva2Lm4vZJs9whX67d_sRZRPb/view?usp=sharing
TUQUERRES;ESNAMBUD;BORDONCILLO;308;26/12/2024;1,104583;77,683417;https://drive.google.com/file/d/1EM02A02IqfJa6-noHQZ63wJjq-WjLclu/view?usp=sharing
TUQUERRES;SAN ROQUE ALTO;AZUFRAL;328;30/12/2024;1,091111;77,675556;https://drive.google.com/file/d/1P6HhazdM7dS76-4yniurFWZAPCaLm0Pw/view?usp=sharing
