MUNICIPIO;CORREGIMIENTO O VEREDA;FUENTE;NO. AUTORIZACION;FECHA AUTORIZACION;LATITUD DECIMAL;LONGITUD DECIMAL;ANEXO
SAN PEDRO DE CARTAGO;BUENOS AIRES;CANCHALA;63;18/04/2023;1,545856;-77,129661;https://drive.google.com/file/d/11PbtohTS-9Gt7f0Fdc_7RZtWpwKTFKlp/view?usp=sharing
SAN PEDRO DE CARTAGO;BUENOS AIRES;SANTA BARBARA;64;18/04/2023;1,545856;-77,129661;
SAN PEDRO DE CARTAGO;ARENAL;EL MOTILON;116;14/06/2023;1,508847;-77,115272;https://drive.google.com/file/d/1cm9adVmzFFVlx3ihCAnFZBz3UN1itE_N/view?usp=sharing
SAN PEDRO DE CARTAGO;BUENOS AIRES;EL VIRINGO;108;01/06/2023;1,545856;-77,129661;https://drive.google.com/file/d/1TsK3iD5E8qxMmPlJ9b51l4cZOBKgSVfS/view?usp=sharing
SAN PEDRO DE CARTAGO;ARENAL;LOS ROBLES;118;14/06/2023;1,508847;-77,115272;
SAN PEDRO DE CARTAGO;SAN ISIDRO;SAN ISIDRO ALTO;109;01/06/2023;1,539906;-77,10779;
SAN PEDRO DE CARTAGO;MARTIN;ARROYO MARTIN;236;19/09/2023;1,530288;-77,090747;
SANDONA;SANTA ROSA CENTRO;AGUA VIVA;303;4/12/2023;1,272906;-77,431257;
SANDONA;ALTO INGENIO;MANANTIAL EL MOTILON;312;5/12/2023;1,279859;-77,441855;
SANDONA;ALTO INGENIO;MANANTIAL LA CEBA;306;5/12/2023;1,277242;-77,445097;
SANDONA;SANTA ROSA ALTO;MANANTIAL LA BOCATOMA;313;6/12/2023;1,2859;-77,439583;
SANDONA;SAN FERNANDO;AGUADA SAN FERNANDO;308;5/12/2023;1,258172;-77,474908;
SANDONA;SAN ISIDRO;CAÑADA EL GUARANGO;322;11/12/2023;1,271364;-77,465753;https://drive.google.com/file/d/1gix1I1U4oU00m4s34urrgLgzy8UcZRo5/view?usp=sharing
SANDONA;SANTA ROSA ALTO;MANANTIAL EL JOSELITO;309;5/12/2023;1,287422;-77,437433;
SANDONA;ALTO INGENIO;CAÑADA EL CARMELO;310;5/12/2023;1,301903;-77,458892;
SANDONA;SAN MIGUEL;MANANTIAL LAS ACACIAS;360;29/12/2023;1,264403;-77,46147;
SANDONA;SAN MIGUEL;RIO INGENIO;373;29/12/2023;1,283575;-77,484406;
SANTA BARBARA DE ISCUANDE;CABECERA MUNICIPAL;PAZMIÑO;110;02/06/2023;2,449092;-77,980464;
SANTACRUZ;CANDAGAN;KINDISKAS;82;03/05/2023;1,204417;-77,668361;
SANTACRUZ;EL HATO;Q EL HABRA;344;19/12/2023;1,517258;-77,247911;
SANTACRUZ;MANCHAG;LA CUCHILLA;346;19/20/2023;1,257747;-77,662125;
SAPUYES;MARAMBA BAJO;LA CARBONERA;59;14/04/2023;1,021306;-77,614647;
SAPUYES;MARAMBA BAJO;CUARRIS;65;18/04/2023;1,021306;-77,614647;
SAPUYES;LA COMUNIDAD;ALTO PREDIO;72;24/04/2023;1,017914;-77,651561;
SAPUYES;MARAMBA;CARBUNCO;101;15/05/2023;1,005;-77,612;https://drive.google.com/file/d/17zRQMoh2J_K9M20-kPfMd8CMq5jmpF4z/view?usp=sharing
SAPUYES;PANAMA;CARRISO;173;02/08/2023;1,035287;-77,72337;
TABLON DE GOMEZ;LLANO LARGO;EL MOTILON;87;04/05/2023;1,403258;-77,045692;
TABLON DE GOMEZ;FATIMA;ARROYO EL COCODRILO;96;09/05/2023;1,414703;-77,022572;
TABLON DE GOMEZ;PITALITO BAJO;EL GRANADILLO;189;17/08/2023;1,417864;-77,060408;
