MUNICIPIO;CORREGIMIENTO O VEREDA;FUENTE;NO. AUTORIZACION;FECHA AUTORIZACION;LATITUD DECIMAL;LONGITUD DECIMAL;ANEXO
POLICARPA;ALTAMIRA;ALTAMIRA;220;2023-09-08;1.648061;-77.401364;
POLICARPA;SANTACRUZ;RUELA DE LA TIERRA MACONDO;281;2023-11-14;1.801405;-77.546883;
POLICARPA;SANCHEZ;ACUEDUCTO SANCHEZ;269;2023-10-24;1.798809;-77.57964;
POTOSI;CUASPUD CUATRO ESQUINAS;CERRO GORDO;39;2023-02-27;0.790992;-77.587122;
PROVIDENCIA;TANDAYAN;ARROYO LAS PALMAS;6;2023-01-12;1.241592;-77.600894;
PROVIDENCIA;GUADIAHUMA;LAS TULPAS;13;2023-01-20;1.298706;-77.612531;
PROVIDENCIA;VILLA NUEVA;LOS CHEPITOS;17;2023-01-23;1.271106;-77.592389;
PROVIDENCIA;VILLA NUEVA;LOS JUCOS;14;2023-01-20;1.271106;-77.592389;
PROVIDENCIA;RANCHERIA;QUEBRADA LOS MOLINOS;12;2023-01-20;1.230558;-77.585292;
PROVIDENCIA;EL PLACER;EL CARRIZO;35;2023-02-10;1.228094;-77.593747;
PROVIDENCIA;GUANAMA;LOS POZUELOS;36;2023-02-10;1.188356;-77.591003;
PROVIDENCIA;VILLA MARIA;ARROYO LA PEÑA;70;2023-04-21;1.223172;-77.602083;
PROVIDENCIA;RANCHERIA;RANCHERIA;93;2023-05-09;1.230558;-77.585292;
PROVIDENCIA;RANCHERIA;LA CHORRERA RANCHERIA;292;2023-11-27;1.230558;-77.585292;
PUPIALES;CASA FRIA;QUEBRADA LOS LEONES;112;2023-06-13;0.947422;-77.661331;
PUPIALES;ESPINO SUR;QUEBRADA LAS CULEBRAS;7;2023-01-17;0.883073;-77.656636;
PUPIALES;CHILES;ALAMBUERA;175;2023-08-02;0.933331;-77.654036;
PUPIALES;LA ALUMBUERA;ALJIBE;260;2023-10-23;0.874289;-77.626469;
